::1 - - [07/Aug/2023:12:47:16 +0000] "POST /user HTTP/1.1" 404 144 "-" "PostmanRuntime/7.32.3"
::1 - - [07/Aug/2023:12:50:22 +0000] "GET /user HTTP/1.1" 404 143 "-" "PostmanRuntime/7.32.3"
::1 - - [07/Aug/2023:12:51:33 +0000] "GET /users HTTP/1.1" 200 15 "-" "PostmanRuntime/7.32.3"
::1 - - [07/Aug/2023:13:29:34 +0000] "GET /users?name=t HTTP/1.1" 500 35 "-" "PostmanRuntime/7.32.3"
::1 - - [07/Aug/2023:13:34:01 +0000] "GET /users?name=t HTTP/1.1" 200 1572 "-" "PostmanRuntime/7.32.3"
::1 - - [07/Aug/2023:13:54:44 +0000] "GET /users?name HTTP/1.1" 200 2084 "-" "PostmanRuntime/7.32.3"
::1 - - [07/Aug/2023:13:57:25 +0000] "GET /users HTTP/1.1" 200 12 "-" "PostmanRuntime/7.32.3"
::1 - - [09/Aug/2023:11:34:38 +0000] "GET /products/1/1 HTTP/1.1" 404 151 "-" "PostmanRuntime/7.32.3"
::1 - - [09/Aug/2023:11:35:12 +0000] "GET /products HTTP/1.1" 500 1387 "-" "PostmanRuntime/7.32.3"
::1 - - [09/Aug/2023:11:38:42 +0000] "GET /products HTTP/1.1" 500 1401 "-" "PostmanRuntime/7.32.3"
::1 - - [09/Aug/2023:11:39:46 +0000] "GET /products HTTP/1.1" 500 1401 "-" "PostmanRuntime/7.32.3"
::1 - - [09/Aug/2023:11:40:17 +0000] "GET /products HTTP/1.1" 500 27 "-" "PostmanRuntime/7.32.3"
::1 - - [09/Aug/2023:11:40:40 +0000] "GET /products?limit=3&page=3 HTTP/1.1" 500 26 "-" "PostmanRuntime/7.32.3"
::1 - - [09/Aug/2023:11:40:59 +0000] "GET /products?limit%20=%203%20&%20page%20=%203 HTTP/1.1" 500 27 "-" "PostmanRuntime/7.32.3"
::1 - - [09/Aug/2023:11:41:14 +0000] "GET /products?limit=3&page=3 HTTP/1.1" 500 26 "-" "PostmanRuntime/7.32.3"
::1 - - [09/Aug/2023:11:43:00 +0000] "GET /products?limit=3&page=3 HTTP/1.1" 200 829 "-" "PostmanRuntime/7.32.3"
::1 - - [11/Aug/2023:11:34:34 +0000] "GET /users HTTP/1.1" 200 1324 "-" "PostmanRuntime/7.32.3"
::1 - - [11/Aug/2023:11:46:13 +0000] "POST /users HTTP/1.1" 500 289 "-" "PostmanRuntime/7.32.3"
::1 - - [11/Aug/2023:11:48:06 +0000] "POST /users HTTP/1.1" 500 46 "-" "PostmanRuntime/7.32.3"
::1 - - [11/Aug/2023:11:48:22 +0000] "POST /users HTTP/1.1" 500 432 "-" "PostmanRuntime/7.32.3"
::1 - - [11/Aug/2023:11:49:52 +0000] "POST /users HTTP/1.1" 201 - "-" "PostmanRuntime/7.32.3"
::1 - - [11/Aug/2023:12:05:13 +0000] "GET /users HTTP/1.1" 200 1324 "-" "PostmanRuntime/7.32.3"
::1 - - [14/Aug/2023:11:27:31 +0000] "GET /users HTTP/1.1" 200 1399 "-" "PostmanRuntime/7.32.3"
::1 - - [14/Aug/2023:11:33:14 +0000] "POST /users HTTP/1.1" 201 - "-" "PostmanRuntime/7.32.3"
